,reviews
0,"Abhijñānashākuntala = Abhignana sakuntalam = The Recognition of Śakuntalā = Shakuntala: A sanskrit drama, Kalidas, KālidāsaThe Recognition of Shakuntala, or The Sign of Shakuntala, is a Sanskrit play by the ancient Indian poet Kālidāsa, dramatizing the story of Shakuntala told in the epic Mahabharata. It is considered to be the best of Kālidāsa's works. Its date is uncertain, but Kālidāsa is often placed in the period between the 1st century BCE and 4th century CE.In Hindu mythology, Shakuntala 
Abhijñānashākuntala = Abhignana sakuntalam = The Recognition of Śakuntalā = Shakuntala: A sanskrit drama, Kalidas, KālidāsaThe Recognition of Shakuntala, or The Sign of Shakuntala, is a Sanskrit play by the ancient Indian poet Kālidāsa, dramatizing the story of Shakuntala told in the epic Mahabharata. It is considered to be the best of Kālidāsa's works. Its date is uncertain, but Kālidāsa is often placed in the period between the 1st century BCE and 4th century CE.In Hindu mythology, Shakuntala is the wife of Dushyanta and the mother of Emperor Bharata. Her story is told in the Mahabharata and dramatized by many writers, the most famous adaption being Kalidasa's play Abhijñānaśākuntala (The Sign of Shakuntala).The poem Shakuntella, or Shakontala, is the most beautiful work of Kalidasa, the famous poet and playwright of ""Ancient India"", in Sanskrit. The Indians call it Nakata. Kalidasa lived during the reign of Doshiant Gupta.Shakuntella means ""raised chicken"", is the name of a unique charming girl, who was raised as a child, in the shelter of forest birds, and after a while, in the monastery of a pious man. A meeting takes place between Doshiant, the king of India, and Shakontella, and the two fall in love.The time of the carpenter arrives soon, and after one day has passed, the king of ""Doshiant"" finds the palate, returns to the capital, to take his pregnant wife to his court in all its glory. A girl who has forgotten herself because of love ignores the old age of ""responding to the call"" to which she has set foot, and does not follow the usual rituals and customs.The old man is angry with ""Shakontella"", and opens his mouth to say, ""May the eternal curse be upon you, I look that you have fallen in love, I hope your heart will never remember you, and you will burn in the flames of his shame ...""تاریخ نخستین خوانش: روز بیست و یکم ماه دسامبر سال 1970میلادیعنوان: شکونتلا؛ اثر: کالیداس؛ مترجم: ایندوشیکهر؛ تهران، بنگاه ترجمه و نشر کتاب؛ 1341؛ در 171ص؛ فروست ادبیات خارجی زیر نظر احسان یارشاطر 45؛ بارها چاپ شده، چاپ دیگر تهران، علمی فرهنگی، 1382، شابک 9644453948؛ چاپ بعدی 1391؛ شابک 9789644453946؛ موضوع نمایشنامه های سنسکریت نویسندگان هندو - اساطیر هند - نمایشنامه شکونتلا - بین سده نخست پیش از میلاد تا سده ی 4میلادیعنوان: شکونتلا؛ اثر: کالیداس؛ مترجم: علی اصغر حکمت؛ دهلی نو، دانشگاه دهلی؛ 1336؛ در 175ص؛ منظومه‌ ی «شکونتلا»، یا «شاکونتالا»، زیباترین اثر «کالیداس» شاعر، و نمایشنامه نویس نامدار «هند باستان»، به زبان «سانسکریت» است؛ «هندی‌»ها عنوان آن را «ناکاتا» می‌گویند؛ «کالیداس»، در دوران شاه «دوشیانت گوپتا» می‌زیسته است؛ «شکونتلا» یعنی «مرغ پرورده»، نام دختر دلربای بی‌ همتایی است، که در کودکی، در پناه مرغان جنگل، و پس از چندی، در صومعه‌ ی مرد پارسایی، پرورده و بالیده است؛ بین «دوشیانت» پادشاه «هند»، و «شکونتلا»، دیداری دست می‌دهد، و هردو به‌ یکدیگر دل می‌بازند؛ زمان وصال زود فرا می‌رسد، و پس از آن‌که روزگاری به کام دل سپری شد، شاه «دوشیانت» کام یافته، به پایتخت برمی‌گردد، تا همسر باردار خویش را، با شکوه تمام به دربار خویش ببرد؛ دختر که به سبب عشق، خویشتن را نیز از یاد برده، به پیری «مستجاب الدعوه»، که بدان دیار پای نهاده، بی‌اعتنایی می‌کند، و رسم معمول، و آداب را به جای نمی‌آورد؛ پیر به «شکونتلا»، خشم می‌گیرد، و زبان می‌گشاید که «نفرین جاودانی بر تو باد، می‌نگرم که عاشق شده‌ ای، امید دارم دلدارت هرگزی تو را به‌ خاطر نیاورد، و تو در شرار هجران او بسوزی...»؛ شکونتلا، در میان بوته‌ های گل، چنان سرگرم خیال عشق، و عاشقی خویش بوده، که حتی نفرین پیر را نمیشنود؛ اما دیگر یاران او صدای لرزان، و خشم‌ آلود پیر را میشنوند - دختری به پای پیر میافتد، و میگوید «بر این بینوا رحم کن، دریغ است، با نفرینت این شادکامی را از او بگیری...»؛ پیر میگوید «نفرین من تا آن زمان خواهد بود، که دختر، نشانی از معشوق، به وی نشان دهد، آنگاه این نفرین دامان او را، رها خواهد کرد.»؛ نفرین او زنگار فراموشی بر دل شاه مینشاند، چنان‌که چون «شکونتلا» شادمان، و امیدوار به‌ دربار می‌رود، شاه او را نمی‌شناسدشکونتلا، با دیدگان اشکبار میگوید: شهریار من، من «شکونتلا» هستم، دختری که تو به همسری برگزیدی، و حلقه‌ ی مرصع خود را بر انگشتش کردی...؛ و سپس دست لرزان خویش را به جلو میبرد، تا انگشتری را به شاه نشان دهد، اما دریغ، حلقه بر انگشت او نبود، و او آن‌را گم کرده بود، ...؛ کالیداس، «کالیداسا» یا «کالیداسه (به زبان دوانگری به معنای خدمتکار کالی)»، نمایشنامه نویس، و شاعر نامدار کلاسیک سانسکریت «هندو» بوده، سه اثر برجسته‌ ی «مگهادوتا»، «شناخت شکونتلا»، و «کومارسمبوه»، از ایشان به یادگار مانده است؛ دوران زندگانی «کالیداس» آشکار نیست، زیستن ایشان را، بین سده‌ های نخست پیش از میلاد، و سده ی چهارم میلادی، می‌انگارند؛ مردمان «هند» جایگاه «کالیداسا» را در ادب سانسکریت، همپایه با «شکسپیر»، در ادب «انگلیسی» می‌دانند؛ شعرها و نوشته‌ های «کالیداس»، بر پایه ی فلسفه و اسطوره‌ شناسی «هندو» نگاشته شده اند؛تاریخ بهنگام رسانی 05/01/1400هجری خورشیدی؛ ا. شربیانی
...more"
1,"Kalidasa was a great Indian poet and playwright who lived sometime between the 4th and 5th centuries AD during the Gupta dynasty. It was a time of prosperity and flourishing of arts and letters.The work entitled ""The Recognition of Sakudala"" is a combination of dialogues and songs, written partly in Sanskrit and partly in the simple, colloquial known as Prakrit. The main plot is based on a story that can be found in the Indian epic Mahabharata, Shakuntala's love affair with King Dushyanta (Dushy
Kalidasa was a great Indian poet and playwright who lived sometime between the 4th and 5th centuries AD during the Gupta dynasty. It was a time of prosperity and flourishing of arts and letters.The work entitled ""The Recognition of Sakudala"" is a combination of dialogues and songs, written partly in Sanskrit and partly in the simple, colloquial known as Prakrit. The main plot is based on a story that can be found in the Indian epic Mahabharata, Shakuntala's love affair with King Dushyanta (Dushyanda).Ο Kalidasa υπήρξε σπουδαίος Ινδός ποιητής και δραματουργός που έζησε κάπου ανάμεσα στον 4ο και 5ο μΧ αιώνα, την εποχή της δυναστείας των Gupta. Πρόκειται για μια εποχής ευημερίας και άνθισης των τεχνών και των γραμμάτων. Όπως αναφέρεται και στην εισαγωγή της συγκεκριμένης έκδοσης:""Το βασίλειο περιελάμβανε ολόκληρη την κοιλάδα του Ινδού στα δυτικά, έφτανε ως την Myanmar στην Ανατολή, το Νεπάλ στον Βορρά και στο Νότο έφτανε ως τον ποταμό Narmada. Πρωτεύουσά του ήταν η πόλη Ujjain. Την εποχή εκείνη σημειώθηκε μια οργανωμένη προσπάθεια αναβίωσης του βεδικού παρελθόντος, στα λατρευτικά έθιμα αλλά και στη χρήση της σανσκριτικής γλώσσας [...] Πρόκειται κατά την άποψη πολλών ερευνητών για μια Ινδική Χρυσή Εποχή [...] Μια ευημερούσα χώρα με σωστή διακυβέρνηση, ωραίες πόλεις, νοσοκομεία και πανεπιστήμια. Οι κάτοικοι διαθέτουν ελευθερία στις μετακινήσεις τους, δεν υπόκεινται σε σωματικές τιμωρίες, οι δημόσιοι λειτουργοί έχουν σταθερούς μισθούς [...] ένας ευτυχισμένος τόπος όχι μόνο για το ιερατείο και τους αυλικούς ποιητές αλλά και για τον λαό εξίσου"". Το έργο με τίτλο ""Η Αναγνώριση της Σακούνταλα"" απαρτίζεται από έναν συνδυασμό διαλόγων και τραγουδιών, γραμμένων εν μέρει στα σανσκριτικά και εν μέρει στην απλή, λαϊκή καθομιλουμένη, γνωστή ως Prakrit. Η υπόθεση του έργου είναι παρμένη από μια ιστορία η οποία, εκτός των άλλων, συναντάται και στο ινδικό έπος Mahabharata. Μέσα σε επτά θεατρικές πράξεις εκτυλίσσεται η ερωτική ιστορία της Shakuntala (Σακούνταλα) με τον βασιλιά Dushyanta (Ντουσιάντα). Η νέα είναι είναι θετή κόρη του ερημίτη Kashyapa (ο αληθινός πατέρας της είναι ο βασιλιάς Kaushika και μητέρα της είναι η νύμφη - apsaras - Menaka). Ζει σε ένα ειδυλλιακό μοναστήρι - ερημητήριο, κοντά στον ποταμό Malini, στους πρόποδες την Ιμαλαΐων. Το όνομά της κατά μία εκδοχή σημαίνει ""πουλάκι"" καθώς όταν την βρήκε, βρέφος, εγκαταλειμμένο στο δάσος, ο ερημίτης, τα πουλιά (sakunta) την προστάτευαν από τα άγρια θηρία. Η κοπέλα μεγαλώνει ανάμεσα σε σοφούς και καλόκαρδους ανθρώπους, σε ένα δάσος όπου απαγορεύεται το κυνήγι των ζώων - η ίδια εμφανίζεται να έχει υιοθετήσει ένα ορφανό ελαφάκι - μια ωραία και αγνή κόρη σε έναν τόπο που επικρατεί η γαλήνη και η ομορφιά:""Κάτω από τα δέντρα φυτρώνουνκαρποί από άγριο ρύζι, φερμένοι από τα ράμφη των παπαγάλων που φωλιάζουν στα δέντρα,κι αλλού βλέπει κανείς πέτρες που λαμποκοπούναπό τα έλαια των καρπών ινγκούντι. Τα ελαφάκια είναι τόσο άφοβα που τους μιλάςκαι δεν δείχνουν το ελάχιστο ξάφνιασματα μονοπάτια και οι λιμνούλες φέρουν σημάδιααπό τα βρεγμένα ενδύματα, τα καμωμένα από φλοιούς δέντρωνπου φορούν οι μοναχοί"".Ο βασιλιάς την συναντά την ώρα που ποτίζει τα δέντρα, μαζί με τις δύο πιστές της φίλες και μέσα από μια ιδιαίτερα χαριτωμένη σκηνή, όπου μια μέλισσα επιτίθεται στο κορίτσι κι εκείνος σπεύδει να τη βοηθήσει, γίνεται η πρώτη τους γνωριμία. Ο έρωτάς τους ολοκληρώνεται μέσα από ένα είδος γάμου που βασίζεται στην συναινετική ερωτική συνεύρεση, λέγεται gandharva και είναι απολύτως αποδεκτός από την ινδουϊστική θρησκεία.Όταν ο βασιλιάς υποχρεώνεται να εγκαταλείψει το μοναστήρι, της υπόσχεται πως σύντομα θα στείλει να την φέρουν κοντά του:""Μία - μία, κάθε μέρα,μέτρα κι από μία συλλαβή του ονόματός μου.Όταν θα έχεις φτάσει στην τελευταία, αγάπη μου,ένας απεσταλμένος μου θα έρθει να σε οδηγήσει και να σε φέρει στο παλάτι,εκεί που ζουν οι βασιλικές μου σύζυγοι"" Μέσα στην ερωτική της μελαγχολία, η Shakuntala, η οποία έχει μείνει έγκυος, παραβλέπει να ασκήσει τους κανόνες τις φιλοξενίας, αγνοώντας την παρουσία ενός πολύ διακεκριμένου προσώπου με μαγικές δυνάμεις, πρόκειται για τον προφήτη ή μάντη Durvasas, ο οποίος ρίχνει επάνω της μια κατάρα: Να την ξεχάσει αυτός τον οποίο εκείνη σκέφτεται. Και μόνο μετά από τα παρακάλια των φιλενάδων της ο Durvasas ελαφρύνει την κατάρα του με ένα όρο: Τα μάγια θα λυθούν μόλις ο αγαπημένος της αντικρίσει το σύμβολο της αγάπης τους. Πρόκειται για ένα δαχτυλίδι που φέρει την σφραγίδα του.Κάπως έτσι ξεκινά για την ηρωίδα μια θλιβερή περιπέτεια, μια φοβερή δοκιμασία. Η οποία ωστόσο θα έχει αίσια έκβαση. Μέσα από διάφορα σημεία του έργου παρουσιάζονται ορισμένοι θεσμοί και κοινωνικές αντιλήψεις πάνω στις οποίες βασίζεται ο συγκεκριμένος πολιτισμός της εποχής του Kalidasa. Πάνω από όλα υπάρχουν οι κάστες που καθορίζουν τη θέση και το επάγγελμα ενός ανθρώπου:""Λένε πως όποιο κι αν είναι το κληρονομικό επάγγελμα του καθένα,αυτό είναι υποχρεωμένος να ασκείακόμα κι αν το απεχθάνεται.Ένας μορφωμένος Βραχμάνος, γεμάτος συμπόνιαείναι υποχρεωμένος να σκοτώνει ζώαγια τις λατρευτικές θυσίες"". Η πολυγαμία αποτελεί προνόμιο του βασιλιά (ισχύει και για άλλα μέλη των ευπορότερων κοινωνικών στρωμάτων) κι ανάμεσα στις βασιλικές συζύγους, η πρώτη που θα φέρει στον κόσμο ένα αρσενικό παιδί, έχει την υψηλότερη θέση ανάμεσα στις άλλες, καθώς ο μικρός της ορίζεται ως διάδοχος του βασιλικού θρόνου. Ο ρόλος και η συμπεριφορά μιας καλής συζύγου ορίζεται από συγκεκριμένους κανόνες:""Να υπακούς τους μεγαλύτερούς σουνα είσαι καλή με τις άλλες συζύγους του άνδρα σου.Αν αυτός σε προσβάλει να μην του αντιμιλήσεις με οργή.Πάντα να είσαι ευγενική με τους υπηρέτες να μην κομπάζεις για την ευτυχία σου. Με αυτόν το τρόπο τα νέα κορίτσια γίνονται οι Κυρίες ενός σπιτιού.Όσες δεν τηρούν του κανόνεςφέρνουν δυστυχία στο σπιτικό"".Από την άλλη, αν και δεν δίνει πολλά στοιχεία για αυτές, ο βασιλιάς διαθέτει στον στρατό του ένα επίλεκτο γυναικείο σώμα από πολεμίστριες. Πρόκειται για τις Yavanani ή γυναίκες της Ιωνίας, οι οποίες φέρουν τόξα και προέρχονται από μέρη που παλαιότερα αποτελούσαν τμήμα των ελληνιστικών βασιλείων. Το κείμενο αισθητικά, διέπεται από έναν ιδιαίτερο αισθησιασμό. Πίσω από τις τρυφερές στιχομυθίες του νεαρού ζευγαριού, παρουσιάζεται ένα παθιασμένο ερωτικό παιχνίδι, μια μύηση στις χαρές και τις απολαύσεις της σεξουαλικής πράξης, όπως αυτή εκδηλώνεται μέσα από τρυφερές χειρονομίες, φλογερές ματιές, στιγμιαία αγγίγματα, λόγια και εκφράσεις που εκφράζουν μια έντονη ερωτική έλξη. Aπό μία παράσταση της Λήδας Shantala, που ανέβηκε στην Αθήνα το 1991, πληροφορίες και ένα ενδιαφέρον βίντεο με ένα χορευτικό απόσπασμα από το έργο:http://www.shantala.gr/x_shakunthala0...
...more"
2,"I first read Sakuntala in 2009, when I was a teacher's assistant to a university course on ""Masterworks of World Literature."" I think the translation by W.J. Johnson, which I read the first time, does a better job conveying the romance of Dushyanta and Sakuntala's forest encounter, but the Arthur W. Ryder translation, which I read the second time, helps the play feel weightier, like a Greek epic. Anyway, I continue to marvel at this story of the conflicts between duty and pleasure, nature and nu
I first read Sakuntala in 2009, when I was a teacher's assistant to a university course on ""Masterworks of World Literature."" I think the translation by W.J. Johnson, which I read the first time, does a better job conveying the romance of Dushyanta and Sakuntala's forest encounter, but the Arthur W. Ryder translation, which I read the second time, helps the play feel weightier, like a Greek epic. Anyway, I continue to marvel at this story of the conflicts between duty and pleasure, nature and nurture. I am teaching my own college-level course on world literature in a couple of months, and this is the text we're starting with. A beautiful, joyful, timeless classic.My original review (2009):The story is maddeningly simple: While hunting, King Dusyanta wanders into an ascetic commune, sees a beautiful woman (Sakuntala), promises to make her first amongst his wives, impregnates her, returns to his palace and, through an inconvenient curse, he forgets all about her. Years pass, the curse is reversed, he realizes his mistake, and he pines to find and claim his lost wife Sakuntala. You've probably already guessed the ending, but in case your imagination is creaky today, I'll give you a hint: This story is a comedy.Sakuntala, or The Recognition of Sakuntala, or Sakuntala and the Ring of Recognition, or however else it has been translated, is from my perspective chauvinistic, elitist and classist. This may be more a problem with my perspective than the text -- the play was written some 1700 years ago and by/for a culture about which I am absolutely clueless. Yet despite my horror at the playwright's politics, I couldn't help but find passion and beauty in his language and imagery. The metaphor of the husband as mango tree, the wife (wives?) as the vines that encircle and bejewel it, is sexist, absolutely -- but in its way it is also gorgeous.In American schools we study many (ideologically flawed) pieces of drama -- Sophocles, Shakespeare, Arthur Miller, etc. -- but what of the dramatic and literary traditions of non-Western societies? Given its prominence in India (and other pockets of Asia), why is Kalidasa a name so few people here have heard? I saw my first Bollywood movie when I was an undergraduate, and it was one of the weirdest, most unsettling cinematic experiences I had had to that point. Why am I just learning now that joyous wedding-planning, exaggerated emotional performances, last-minute divine interventions and spontaneous eruptions into song actually have long traditions in Indian literature?Again, I conclude a ""masterwork"" of world literature with mixed thoughts: (1) This play is wonderful. (2) Why the hell haven't I read it before?
...more"
3,"I used to stalk the local university library alone in the evenings like a kid exploring ancient temple ruins. One night long ago I pulled this Sanskrit masterpiece somewhat flippantly from the shelf at around 7pm and didn't lift my head from it again until the intercom announced the library would be closing in 30 minutes. There is an effect that literature can have that is often shaped by the particulars of the moment in which it was first encountered. We don't only have favorite reads, we also 
I used to stalk the local university library alone in the evenings like a kid exploring ancient temple ruins. One night long ago I pulled this Sanskrit masterpiece somewhat flippantly from the shelf at around 7pm and didn't lift my head from it again until the intercom announced the library would be closing in 30 minutes. There is an effect that literature can have that is often shaped by the particulars of the moment in which it was first encountered. We don't only have favorite reads, we also have favorite readings. And my first and only reading of Shakuntala was one of them. 
...more"
4,"The French Academy can take the Three unities and stuff them. What is this marvel? In the fifth century AD, a time when theatre was barely accepted in Europe solely for marketing Christianity purposes, we have a story of drama, crushed hopes, joyful reunions, curses, magic bracelets, nymphs and out-of-stage sex. Patriarchal values aside, this piece is particularly rich and enchanting in comparison with the Greek, Roman formality, before, and French, afterwards. Charming!"
5,"2.5 starsMy edition also includes the chapters from the Mahābhārata on which Kālidāsa based his play, a prose version for children by Abanindranath Tagore from 1895, and some early-19th-century miniatures depicting the story.I liked the version by Abanindranath Tagore best.The language of the play is beautiful in places and the clown is funny, but the story is rather slight. I was also not very impressed with king Dushyanta's love for Śakuntalā. (view spoiler)[He takes one look at her and declar
2.5 starsMy edition also includes the chapters from the Mahābhārata on which Kālidāsa based his play, a prose version for children by Abanindranath Tagore from 1895, and some early-19th-century miniatures depicting the story.I liked the version by Abanindranath Tagore best.The language of the play is beautiful in places and the clown is funny, but the story is rather slight. I was also not very impressed with king Dushyanta's love for Śakuntalā. (view spoiler)[He takes one look at her and declares that she is the one and only, whereas he has a harem full of women to whom he has probably said the same thing in the past. In fact, two of them are mentioned by name and they appear unhappy because Dushyanta does not pay attention to them anymore. So Śakuntalā will very likely not be the last of his conquests.(And the less said about how he treats her in the Mahābhārata, the better!) (hide spoiler)]But I am glad to have finally read it*, so I can make room on my shelves for something else.*Thanks to a challenge in the Netherlands & Flanders group, where I also left a short review in Dutch.
...more"
6,"Sanskrit is a hard language to crack, and, from my experience, even harder to translate. It seems that translators usually fall back on one of two methodologies: Some, like Shulman and Heifitz, try to ""transcreate,"" so that often the idea of a verse remains the similar, but the actual words are vastly different. Others try to literally transalte word for word, ending up with a sort of pseudo-Victorian Indologese.Happily, Somdev Vasudev manages to translate the Shakuntala of Kalidasa in a way tha
Sanskrit is a hard language to crack, and, from my experience, even harder to translate. It seems that translators usually fall back on one of two methodologies: Some, like Shulman and Heifitz, try to ""transcreate,"" so that often the idea of a verse remains the similar, but the actual words are vastly different. Others try to literally transalte word for word, ending up with a sort of pseudo-Victorian Indologese.Happily, Somdev Vasudev manages to translate the Shakuntala of Kalidasa in a way that is both fairly literal and readable. This is not to say that the play is easy to read--the Gupta-era aesthetic is much different than that of say Sophocles or Shakespeare. Vasudev provides a useful introdution that succincly explains Sanskrit terminology like rasa, etc.
...more"
7,"An Indian play. First written in Sanskrit.A mixture of Hindu thought and mythology.By one of this continents greatest poets, Kalidasa.A love story; a King and a hermit girl.A long time ago (500 a.c.e.) Only the scenery has changed.What was, is. What will be, happened.Delightful.Absolutely delightful.(3.5*)"
8,"This was awfully cute, actually."
9,"Easy, enjoyable, a classic love story from India. I didn't understand the cause of the curse that causes the king's amnesia. Was one of the gods upset with somebody? If it was explained, I missed it. Recommended.
Easy, enjoyable, a classic love story from India. I didn't understand the cause of the curse that causes the king's amnesia. Was one of the gods upset with somebody? If it was explained, I missed it. Recommended.
...more"
